step,total_loss,image_to_text_loss,text_to_image_loss,learning_rate
1,0.8182373046875,0.890380859375,0.74609375,2.0000000000000003e-06
2,2.2499351501464844,1.3251953125,3.1746749877929688,3e-06
3,1.7064208984375,1.57275390625,1.840087890625,4.000000000000001e-06
4,1.791107177734375,1.416015625,2.16619873046875,5e-06
5,2.6875,2.7880859375,2.5869140625,6e-06
6,0.500091552734375,0.434326171875,0.56585693359375,7.000000000000001e-06
7,1.62432861328125,1.99237060546875,1.25628662109375,8.000000000000001e-06
8,0.945831298828125,0.765869140625,1.12579345703125,9e-06
9,1.23138427734375,0.8895263671875,1.5732421875,1e-05
10,1.6079254150390625,1.151611328125,2.064239501953125,1.1000000000000001e-05
11,1.3589537143707275,0.40643310546875,2.311474323272705,1.2e-05
12,1.463226318359375,1.2080078125,1.71844482421875,1.3000000000000001e-05
13,3.906494140625,3.8076171875,4.00537109375,1.4000000000000001e-05
14,1.1196670532226562,0.784423828125,1.4549102783203125,1.5e-05
15,0.6028366088867188,0.3919677734375,0.8137054443359375,1.6000000000000003e-05
16,1.1961822509765625,1.12054443359375,1.271820068359375,1.7000000000000003e-05
17,0.3233470916748047,0.15600204467773438,0.490692138671875,1.8e-05
18,3.25897216796875,3.05224609375,3.4656982421875,1.9e-05
19,2.2707977294921875,1.777587890625,2.764007568359375,2e-05
20,0.99169921875,0.97705078125,1.00634765625,2.1e-05
21,2.6363525390625,2.718994140625,2.5537109375,2.2000000000000003e-05
22,0.56219482421875,0.56610107421875,0.55828857421875,2.3000000000000003e-05
23,1.58770751953125,1.485107421875,1.6903076171875,2.4e-05
24,0.4650611877441406,0.26971435546875,0.6604080200195312,2.5e-05
25,1.4513635635375977,0.5643310546875,2.3383960723876953,2.6000000000000002e-05
26,1.7720947265625,1.44970703125,2.094482421875,2.7000000000000002e-05
27,0.9820632934570312,1.070556640625,0.8935699462890625,2.8000000000000003e-05
28,1.593292236328125,1.2734375,1.91314697265625,2.9e-05
29,0.81219482421875,0.8917236328125,0.732666015625,3e-05
30,0.3034820556640625,0.248046875,0.358917236328125,3.1e-05
31,0.1038062572479248,0.04203033447265625,0.16558218002319336,3.2000000000000005e-05
32,0.7346076965332031,0.40692138671875,1.0622940063476562,3.3e-05
33,1.8258438110351562,1.466796875,2.1848907470703125,3.4000000000000007e-05
34,1.67547607421875,1.4208984375,1.9300537109375,3.5e-05
35,2.219961643218994,1.1181640625,3.3217592239379883,3.6e-05
36,0.7070561647415161,0.088592529296875,1.3255198001861572,3.7e-05
37,0.233795166015625,0.23785400390625,0.229736328125,3.8e-05
38,0.328216552734375,0.403076171875,0.25335693359375,3.9000000000000006e-05
39,2.4301891326904297,1.477294921875,3.3830833435058594,4e-05
40,1.0531005859375,0.929443359375,1.1767578125,4.1e-05
41,0.6783447265625,0.651123046875,0.70556640625,4.2e-05
42,0.9358863830566406,1.1868667602539062,0.684906005859375,4.3e-05
43,0.9636611938476562,0.5277099609375,1.3996124267578125,4.4000000000000006e-05
44,0.3019561767578125,0.33319091796875,0.270721435546875,4.5e-05
45,1.2857701778411865,0.33447265625,2.237067699432373,4.600000000000001e-05
46,1.317535400390625,1.58612060546875,1.0489501953125,4.7e-05
47,0.12002182006835938,0.15425872802734375,0.085784912109375,4.8e-05
48,0.9874267578125,0.82666015625,1.148193359375,4.9e-05
49,0.386566162109375,0.34820556640625,0.4249267578125,5e-05
